"","Sample_ID","Plate_Number","Cq","qPCR_Coordinate","Row","Col","UDI_ID","Set","cycles_15","cycles_18","cycles_21","cycles_24","cycles_27","cycles_28","order","Index_cord"
"54","200_4616","TP2","18","F4","F",7,"UDI12A_0054","UDI_Set_A1",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,54,"F_7"
"55","168_LC003","TP2","18","C9","G",7,"UDI12A_0055","UDI_Set_A1",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,55,"G_7"
"56","156_LC007","TP2","18","B9","H",7,"UDI12A_0056","UDI_Set_A1",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,56,"H_7"
"57","302_LC007","TP3","18","E6","A",8,"UDI12A_0057","UDI_Set_A1",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,57,"A_8"
"58","160_LC013","TP2","18","C1","B",8,"UDI12A_0058","UDI_Set_A1",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,58,"B_8"
"59","156_LC018","TP2","18","B10","C",8,"UDI12A_0059","UDI_Set_A1",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,59,"C_8"
"60","156_LC024","TP2","18","B11","D",8,"UDI12A_0060","UDI_Set_A1",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,60,"D_8"
"61","176_LC041","TP2","18","D5","E",8,"UDI12A_0061","UDI_Set_A1",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,61,"E_8"
"62","176_LC042","TP2","18","D6","F",8,"UDI12A_0062","UDI_Set_A1",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,62,"F_8"
"63","176_LC043","TP2","18","D7","G",8,"UDI12A_0063","UDI_Set_A1",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,63,"G_8"
"64","332_LC045","TP3","18","G8","H",8,"UDI12A_0064","UDI_Set_A1",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,64,"H_8"
"65","172_LC049","TP2","18","D2","A",9,"UDI12A_0065","UDI_Set_A1",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,65,"A_9"
"66","332_LC049","TP3","18","G6","B",9,"UDI12A_0066","UDI_Set_A1",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,66,"B_9"
"67","176_LC052","TP2","18","D8","C",9,"UDI12A_0067","UDI_Set_A1",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,67,"C_9"
"68","172_LC053","TP2","18","D3","D",9,"UDI12A_0068","UDI_Set_A1",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,68,"D_9"
"69","342_LC055","TP3","18","H3","E",9,"UDI12A_0069","UDI_Set_A1",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,69,"E_9"
"70","327_LC058","TP3","18","G4","F",9,"UDI12A_0070","UDI_Set_A1",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,70,"F_9"
"71","140_LC062","TP2","18","A5","G",9,"UDI12A_0071","UDI_Set_A1",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,71,"G_9"
"72","136_LC064","TP2","18","A1","H",9,"UDI12A_0072","UDI_Set_A1",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,72,"H_9"
"73","332_LC078","TP3","18","G7","A",10,"UDI12A_0073","UDI_Set_A1",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,73,"A_10"
"74","148_LC085","TP2","18","B1","B",10,"UDI12A_0074","UDI_Set_A1",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,74,"B_10"
"75","140_LC110","TP2","18","A7","C",10,"UDI12A_0075","UDI_Set_A1",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,75,"C_10"
"76","164_LC115","TP2","18","C7","D",10,"UDI12A_0076","UDI_Set_A1",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,76,"D_10"
"77","322_LC122","TP3","18","F10","E",10,"UDI12A_0077","UDI_Set_A1",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,77,"E_10"
"78","152_LC125","TP2","18","B6","F",10,"UDI12A_0078","UDI_Set_A1",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,78,"F_10"
"79","152_LC127","TP2","18","B8","G",10,"UDI12A_0079","UDI_Set_A1",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,79,"G_10"
"80","160_MC002","TP2","18","C4","H",10,"UDI12A_0080","UDI_Set_A1",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,80,"H_10"
"81","136_MC011","TP2","18","A4","A",11,"UDI12A_0081","UDI_Set_A1",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,81,"A_11"
"82","148_MC019","TP2","18","B4","B",11,"UDI12A_0082","UDI_Set_A1",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,82,"B_11"
"83","322_MC019","TP3","18","F11","C",11,"UDI12A_0083","UDI_Set_A1",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,83,"C_11"
"84","192_N49","TP2","18","E7","D",11,"UDI12A_0084","UDI_Set_A1",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,84,"D_11"
"85","262_N52","TP3","18","C4","E",11,"UDI12A_0085","UDI_Set_A1",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,85,"E_11"
"86","208_N54","TP2","18","F11","F",11,"UDI12A_0086","UDI_Set_A1",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,86,"F_11"
"87","188_N60","TP2","18","E2","G",11,"UDI12A_0087","UDI_Set_A1",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,87,"G_11"
"88","196_N67","TP2","18","E10","H",11,"UDI12A_0088","UDI_Set_A1",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,88,"H_11"
"89","237_N67","TP3","18","A8","A",12,"UDI12A_0089","UDI_Set_A1",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,89,"A_12"
"90","188_N70","TP2","18","E3","B",12,"UDI12A_0090","UDI_Set_A1",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,90,"B_12"
"91","184_N72","TP2","18","D11","C",12,"UDI12A_0091","UDI_Set_A1",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,91,"C_12"
"92","277_617","TP3","19","D2","D",12,"UDI12A_0092","UDI_Set_A1",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,92,"D_12"
"93","220_675","TP2","19","G10","E",12,"UDI12A_0093","UDI_Set_A1",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,93,"E_12"
"94","216_693","TP2","19","G5","F",12,"UDI12A_0094","UDI_Set_A1",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,94,"F_12"
"95","287_693","TP3","19","H5","G",12,"UDI12A_0095","UDI_Set_A1",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,95,"G_12"
"96","220_695","TP2","19","G11","H",12,"UDI12A_0096","UDI_Set_A1",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,96,"H_12"
